gene,,dn.ds_mean,p-value
hop1,All_asexual,0.679829088964179,0.795936261880534
hop2,All_asexual,0.630952090343846,8.43498047133321E-05
mnd1,All_asexual,0.646438714848616,1.43406465188149E-05
dmc1,All_asexual,0.615049384386357,0.677084154235857
mer3,All_asexual,0.628915001530452,0.628863889733455
msh4,All_asexual,0.560946186034372,0.775995037403033
hop1,Core_asexual,0.71201853495333,0.839160839160839
hop2,Core_asexual,0.501064250271781,0.008568386788874
mnd1,Core_asexual,0.645593737101256,0.000164588406613
dmc1,Core_asexual,0.792126781725416,0.388411588411588
mer3,Core_asexual,0.504429662903464,0.181018981018981
msh4,Core_asexual,0.512098943578425,0.314999242243824
hop1,Prasino_asexual,No,No
hop2,Prasino_asexual,0.608858536859874,0.036363636363636
mnd1,Prasino_asexual,0.35677426652781,0.606060606060606
dmc1,Prasino_asexual,0.121782201679666,0.072727272727273
mer3,Prasino_asexual,0.157819880737455,0.071428571428571
msh4,Prasino_asexual,No,No
hop1,Core+Prasino_asexual,No,No
hop2,Core+Prasino_asexual,0.520086771434386,0.003526267782561
mnd1,Core+Prasino_asexual,0.611614975857322,0.000449724019518
dmc1,Core+Prasino_asexual,0.624540636713978,1
mer3,Core+Prasino_asexual,0.441409702509644,0.078215901745314
msh4,Core+Prasino_asexual,No,No
hop1,Sexual,0.648268096259346,Control
hop2,Sexual,0.325097496843749,Control
mnd1,Sexual,0.317012958692533,Control
dmc1,Sexual,0.55840485041265,Control
mer3,Sexual,0.60126375676099,Control
msh4,Sexual,0.567481305688332,Control
